Field Season Year,Species,Date Collected,Plot,Sex,Weight,Scale Calibrated
1978,DM,1/8/1978,4,F,37,NA
1978,DM,1/8/1978,4,M,NA,NA
1978,DM,1/8/1978,4,F,48,NA
1978,DO,1/8/1978,4,M,52,NA
1978,OL,1/8/1978,4,M,35,NA
2013,DM,7/16/2013,2,F,NA,NA
2013,DM,7/16/2013,7,M,33,NA
2013,DM,7/16/2013,3,M,NA,NA
2013,DM,7/16/2013,1,M,NA,NA
2013,DM,7/18/2013,3,M,40,NA
2013,DM,7/18/2013,7,M,48,NA
2013,DM,7/18/2013,4,F,29,NA
2013,DM,7/18/2013,6,F,37,NA
2013,DO,8/19/2013,8,F,52,NA
2013,DO,10/17/2013,3,F,33,NA
2013,DO,10/17/2013,3,F,50,NA
2013,DO,12/10/2013,9,F,40,NA
2013,DO,12/10/2013,1,M,45,NA
2013,DO,12/11/2013,8,F,41,NA
2013,DS,11/12/2013,9,F,117,NA
2013,DS,11/13/2013,11,F,126,NA
2013,DS,11/13/2013,17,M,132,No
2013,DS,11/13/2013,14,F,113,No
2013,DS,11/13/2013,11,F,122,NA
2013,DS,11/13/2013,4,F,107,NA
2013,DS,11/13/2013,4,F,115,NA
2014,DM,1/9/2014,1,M,40,NA
2014,DM,1/9/2014,1,F,36,NA
2014,DM,3/13/2014,1,F,51,NA
2014,DM,3/13/2014,1,F,44,NA
2014,DS,3/13/2014,1,F,146,NA
2014,NA,1/8/2014,2,NA,NA,NA
2014,DM,1/8/2014,2,M,44,NA
2014,PF,1/8/2014,2,F,7,NA
2014,DM,1/8/2014,2,M,45,NA
2014,OT,1/8/2014,2,NA,NA,NA
2014,DS,1/8/2014,2,M,157,No
2014,OX,1/8/2014,2,NA,NA,NA
2014,NA,2/18/2014,2,M,218,No
2014,PF,2/18/2014,2,F,7,NA
2014,DM,2/18/2014,2,M,52,NA
2015,PF,3/11/2015,3,M,8,NA
2015,NA,4/8/2015,3,F,NA,NA
2015,NA,5/18/2015,3,F,182,NA
2015,OT,6/9/2015,3,F,29,NA
2015,NA,7/8/2015,3,F,115,NA
2015,NA,7/8/2015,3,M,190,NA
